profile_id	c_number	count_code	country_name	fish_mgt_plan	url_fish_mgt_plan	gov_marine_fish	major_law_plan	url_major_law_plan	gov_protect_marine_env	url_gov_protect_marine_env
214	740	740	Suriname	"Ministry of Agriculture, Livestock and Fisheries"	http://www.gov.sr/ministerie-van-lvv.aspx	"Ministry of Agriculture, Animal Husbandry and Fisheries"	"Nature Conservation Act, 1954"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=001033&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Ministry of Natural Resources	http://www.gov.sr/ministerie-van-nh.aspx
145	508	508	Mozambique	"Ministry of Sea, Inland Waters and Fisheries"	http://www.mozpesca.gov.mz/	Mnistry of Fisheries	"Decreto n.o 45/2004, de 29 de Setembro"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=002142&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL		
146	104	104	Myanmar			Ministry of Livestock and Fisheries		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=002143&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Ministry of Environment and Forest	http://www.moecaf.gov.mm/
114	404	404	Kenya	State Department of Fisheries	http://www.kilimo.go.ke/fisheries/	Ministry of Livestock and Fisheries Development	"Wildlife (Conservation and Management) Act Cap 376, 1989"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=002186&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	"Ministry of Environment, Natural Resources and Regional Development Authorities"	http://www.environment.go.ke/
177	634	634	Qatar	Ministry of Municipality and Environment	http://www.mme.gov.qa/cui/index.dox	Ministry of Municipal Affairs and Agriculture	"Law No.4 of 1983 (renamed as Decree No. 17, 1993) for the use and conservation of marine resources"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=003161&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Department of Natural Resources and Environment	http://drna.pr.gov/
123	434	434	Libya	"Ministry of Agriculture, Livestock and Marine Wealth"	http://agriculture.gov.ly/	Secretariat of Marine Wealth	Law No. 14/1989 ; Law No.15/2001	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=007635&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL		
195	686	686	Senegal	Ministry of Environment and Sustainable Development	http://www.environnement.gouv.sn/	Commission Sous Régionale des Pêches (CRSP)	Loi N° 2001_01 du 15 Janvier 2001 portant code de l'environnement ;	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=009330&database=faolex&search_type=link&table=result&lang=fra&format_name=@FRALL	Ministry of Environment and Sustainable Development	http://www.environnement.gouv.sn/
201	90	90	Solomon Is.	Ministry of Fisheries and Marine Resources	http://fisheries.gov.sb/	Ministry of Fisheries & Marine Resources		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=011363&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	"Ministry of Environment, Climate Change, Disaster Management and Meteorology"	http://www.met.gov.sb/
152	528	528	Netherlands	"Fisheries, Ministry of Economic Affairs"	https://www.government.nl/topics/fisheries	"Ministry of Agriculture, Nature and Food Quality"		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=012444&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Ministry of Infrastructure and Environment	https://www.rijksoverheid.nl/ministeries/ministerie-van-infrastructuur-en-milieu
157	566	566	Nigeria	Fisheries and Aquaculture Department	http://fmard.com.ng/fisheries-aquaculture-department/	Ministry of Agriculture and Rural Development		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=013384&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Ministry of Environment	http://environment.gov.ng/
192		682	Saudi Arabia	"Ministry of Environment, Water and Agriculture"	http://www.mowe.gov.sa/	Ministry of Agriculture and Water	"The Fishing Exploitation and Protection of Live Aquatic Resourcesin the Territorial Waters of Saudi Arabia Act, 1987"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=013982&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	General Authority for Meteorology and Environmental Protection	http://www.pme.gov.sa/
193	684	684	Saudi Arabia (Persian Gulf)	"Ministry of Environment, Water and Agriculture"	http://www.mowe.gov.sa/	Ministry of Agriculture and Water	"The Fishing Exploitation and Protection of Live Aquatic Resourcesin the Territorial Waters of Saudi Arabia Act, 1987"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=013982&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	General Authority for Meteorology and Environmental Protection	http://www.pme.gov.sa/
194	683	683	Saudi Arabia (Red Sea)	"Ministry of Environment, Water and Agriculture"	http://www.mowe.gov.sa/	Ministry of Agriculture and Water	"The Fishing Exploitation and Protection of Live Aquatic Resourcesin the Territorial Waters of Saudi Arabia Act, 1987"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=013982&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	General Authority for Meteorology and Environmental Protection	http://www.pme.gov.sa/
178	638	638	Reunion	"Ministry of Environment, Energy and the Sea"	http://www.dm.sud-ocean-indien.developpement-durable.gouv.fr/	Ministry of Overseas Affairs	"Refer : Stratégie Réunionnaise pour la Biodiversité, 2005"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=015834&database=faolex&search_type=link&table=result&lang=fra&format_name=@FRALL	Ministry of Municipality and Environment	http://www.moe.gov.qa/
48	178	178	Congo Rep			Ministère de la Pêche et des Ressources halieutiques		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=019552&database=faolex&search_type=link&table=result&lang=fra&format_name=@FRALL		
198	694	694	Sierra Leone	Ministry of Fisheries and Marine Resources	http://www.mfmr.gov.sl/	Ministry of Fisheries and Marine Resources	"The Environment Protection Act, 2000"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=028854&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Environmental Protection Agency	http://epa-sl.org/
166	585	585	Palau	Bureau of Marine Resources	http://palaugov.org/executive-branch/ministries/natural-resources/bureau-of-marine-resources/	Ministry of Resources & Development		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=030045&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL		
132	470	470	Malta	Department of Fisheries and Aquaculture	http://agriculture.gov.mt/en/fisheries/	Ministry for Rural Affairs and the Environment	"Fisheries Conservation and Management Act, 2001"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=033172&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Environment and Resources Authority	http://era.org.mt/
140	583	583	Micronesia	National Fisheries Corporation	http://www.fsmgov.org/nfc/		National Biodiversity Strategy and Action Plan	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=041175&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	National Biodiversity Strategy and Action Plan	http://www.fsmgov.org/biodiv02.pdf
100	360	360	Indonesia	Ministry of Marine Affairs and Fisheries	http://kkp.go.id/	Ministry of Marine Affairs and Fisheries	"Act No. 5 of 1990, concerning Conservation of Living Resources and their Ecosystems"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=041447&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL		
163	512	512	Oman	Ministry of Agriculture and Fisheries	http://maf.gov.om/	National Fisheries Authority	Issuing Law on Sea Fishing and Protection of Aquatic Life Living Resources	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=043557&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Ministry of Environment and Climate Affairs	http://moeca.gov.om/
173	616	616	Poland	Ministry of Agriculture and Rural Development	http://www.minrol.gov.pl/Informacje-branzowe/Rybactwo/Rybolowstwo-morskie	Ministry of Agriculture & Rural Development	The Act of 9 Nov 2000 on Access to Information and its Protection and on Environmental Impact Assessments	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=044933&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Ministry of Environment	http://www.mos.gov.pl/
134	584	584	Marshall Is	Marshall Islands Marine Resources Authority	http://www.mimra.com/index.php		"Marshall Islands Marine Authority Act, 1997"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=049474&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Environmental Issues in the Marshall Islands	http://www.rmiembassyus.org/Environment.htm
203	710	710	South Africa	"Department of Agriculture, Forestry and Fisheries"	http://www.daff.gov.za/	Department of Environmental Affairs and Tourism	"Marine Living Resources Act, 1998"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=061777&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Department of Environmental Affairs	https://www.environment.gov.za/
221	768	768	Togo	"Ministry of Agriculture, Livestock and Water"	http://agriculture.gouv.tg/	"Ministry for Agriculture, the Breeding and Fishing"	"Code of Environment, 1988"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=062177&database=faolex&search_type=link&table=result&lang=fra&format_name=@FRALL	National Agency of Environmental Management�	http://angetg.org/
161	578	578	Norway	Directorate of Fisheries	http://www.fiskeridir.no/	Ministry of Fisheries and Coastal Affairs	"Nature Conservation Act, 1995"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=065983&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	"Norwegian Environment Agency, Ministry of Climate and Environment"	http://www.xn--miljdirektoratet-oxb.no/
205	724	724	Spain	"Ministry of Agriculture, Food and Environment"	http://www.magrama.gob.es/es/pesca/temas/default.aspx	"Ministry of Agriculture, Fisheries and Food"	"Wild Natural Areas, Fauna and Flora Conservation Act 4/1989"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=073888&database=faolex&search_type=link&table=result&lang=spa&format_name=@SRALL	"Coasts and Marine Environment, Ministry of Agriculture, Food and Environment"	http://www.magrama.gob.es/es/costas/temas/default.aspx
168	591	591	Panama	Aquatic Resources Authority	http://arap.gob.pa/	Directorate of Marine and Coastal Resources	Environmental Protection and Conservation Law of 1998 �	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=075742&database=faolex&search_type=link&table=result&lang=spa&format_name=@SRALL	Ministry of Environment	http://www.miambiente.gob.pa/
143	500	500	Montserrat			"Ministry of Agriculture, Lands, Housing and Environment"	"Forestry, Wildlife, National Parks and Protected Areas Ordinance, 1996"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=079160&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Conservation and Environmental Management Bill	http://www.malhe.gov.ms/centrehills/docs/Environmental%20legislation%20Final%20draft%20November%202007.pdf
86	304	304	Greenland	Greenland Institute of Natural Resources	http://www.natur.gl/	"Ministry for Fisheries, Hunting and Settlements"	"The Nature Conservation Act, 2003"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=105543&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Climate Greenland	http://www.silap-pissusaa.gl/
117	296	296	Kiribati	Ministry of Fisheries and Marine Resources Development	http://www.president.gov.ki/ministry-of-fisheries-and-marine-resources-development/	"Ministry of Fisheries, Marine Resources Development"	"Environment Act, 1999"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=109024&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	"The Environment and Conservation Division, Ministry of Environment, Lands and Agricultural Development"	http://www.environment.gov.ki/
165	586	586	Pakistan	Ministry of National Food Security and Research	http://www.mnfsr.gov.pk/	"Ministry of Food, Agriculture and Livestock"	"Pakistan Environmental Protection Act, 1997"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=115736&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Pakistan Environmental Protection Agency	http://environment.gov.pk/
158	570	570	Niue	Ministry of�Natural Resources	http://www.niuegov-premiersoffice.com/ministry-of-natural-resources.html	"Ministry of Agriculture, Forestry & Fisheries"		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=136342&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	"Environment, Taoga Niue"	http://www.taoganiue.com/environment.html
94	328	328	Guyana	Fisheries Department	http://agriculture.gov.gy/fisheries/	"Ministry of Fisheries, Crops & Livestock"	"Environmental Protection Act, 1996"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=142497&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Environmental Protection Agency	http://www.epaguyana.org/
4	12	12	Algeria	"Ministry of Agriculture, Rural Development and Fisheries"	http://www.mpeche.gov.dz/	Ministère de la Pêche et des Resources Halieutique		http://faolex.fao.org/docs/pdf/alg32343E.pdf	National Observatory for Environment and Sustainable Development	http://onedd.org/
20	52	52	Barbados	"Ministry of Agriculture, Fisheries Division"	http://agriculture.gov.bb/agri/index.php?option=com_content&id=67&Itemid=82	Ministry of Agriculture and Rural Development	The Marine Pollution and Control Act�	http://faolex.fao.org/docs/pdf/bar5073.pdf	Coastal Zone Management Unit	http://www.coastal.gov.bb/
23	204	204	Benin	"Ministry of Agriculture, Livestock and Fisheries of Benin"	http://www.agriculture.gouv.bj/	"Ministry of Agricultrure, Breeding and Fishery"		http://faolex.fao.org/docs/pdf/ben149166.pdf		
26	70	70	Bosnia Herzg	"Ministry of Agriculture, Water and Forestry"	http://www.fmpvs.gov.ba/		Law on Sea Fishing.�	http://faolex.fao.org/docs/pdf/bih20582.pdf	Ministry of Environment and Tourism	http://www.fmoit.gov.ba/
28	86	86	Br Ind Oc Tr	British Indian Ocean Territory Ecosystem Information	http://jncc.defra.gov.uk/pdf/ot_biot.pdf	BIOT Administration	"The Protection and Preservation of Wild Life Ordinance, 1970"	http://faolex.fao.org/docs/pdf/bio83227.pdf	Conservation and Management in British Indian Ocean Territory (Chagos Archipelago)	http://chagos-trust.org/sites/default/files/images/Conservation%20and%20Management%20Plan.pdf
22	84	84	Belize	Department of Fisheries	http://www.agriculture.gov.bz/Fisheries_Dept.html	"Ministry of Agriculture, Fisheries & Co-operatives"	"Environmental Protection Act, 1992"	http://faolex.fao.org/docs/pdf/blz1045.pdf	Department of the Environment	http://www.doe.gov.bz/
234	92	92	UK (Virgin islands)	Conservation and Fisheries Department	http://www.bvidef.org/1/index.php/about-cfd/cfd-divisions/fisheries-management-division	Minister of Natural Resources and Labour	"The Marine Parks and Protected Areas Ordinance, 1979"	http://faolex.fao.org/docs/pdf/bvi140127.pdf	Conservation and Fisheries Department	http://www.bvidef.org/
39	136	136	Cayman Islands	Department on Environment	http://www.doe.ky/marine/		"Marine Conservation Law, 1978"	http://faolex.fao.org/docs/pdf/cay135757.pdf	Department of Environment	http://www.doe.ky/
35	120	120	Cameroon	"Ministry of Livestock, Fisheries and Animal Industries"	http://www.minepia.gov.cm/	Ministère de l'elevage des peches et des industries animales	"Law No 81/13 of 27 November, 1981"	http://faolex.fao.org/docs/pdf/cmr4845F.pdf	"Ministry of the Environment, Nature Conservation and Sustainable Development"	http://www.minep.gov.cm/
47	180	180	Congo Dem Rep			"Ministère de l’agriculture, des pêches et de l’élevage"		http://faolex.fao.org/docs/pdf/cng1600.pdf	"Ministry of Land Affairs, Environment and Tourism"	http://www.minenv.itgo.com/
38	132	132	Cape Verde	Ministry of Agriculture and Environment	http://www.mdr.gov.cv/index.php	"Ministry of Environment, Agriculture and Fisheries"		http://faolex.fao.org/docs/pdf/cvi148887.pdf	National Directorate for Environment	http://www.sia.cv/
64	818	818	Egypt	General Authority for Fish Resources Development	http://www.gafrd.org/topics/57493	Ministry of Agriculture and land reclamation	Law No. 4 of 1994 on environment	http://faolex.fao.org/docs/pdf/egy18648E.pdf	Ministry of Environment	http://www.eeaa.gov.eg/
65	222	222	El Salvador	Ministry of Agriculture and Livestock	http://www.mag.gob.sv/	Ministerio de Medio Ambiente y Recursos Naturales	"Ley de Conservación de Vida Silvestre, 1994"	http://faolex.fao.org/docs/pdf/els146530.pdf	Ministry of Environment and Natural Resources	http://www.marn.gob.sv/
69	238	238	Falkland Is	Fisheries Department	http://www.fis.com/falklandfish/	Falkland islands Government	"Wild Animals and Birds protection Ordinance, 1964"	http://faolex.fao.org/docs/pdf/fal1149.pdf	Environmental Planning Department	http://www.fig.gov.fk/epd/
72	246	246	Finland	Ministry of Agriculture and Forestry	http://mmm.fi/en/fisheries	Ministry of Agriculture and Forestry	"Nature Conservation Act, 1996"	http://faolex.fao.org/docs/pdf/fin3763E.pdf	Environment.fi (Ministry of Environment and Finnish Environment Institute)	http://www.environment.fi/en-US/Sea
74	250	250	France	"Ministry of Environment, Energy and the Sea"	http://www.developpement-durable.gouv.fr/-Les-peches-maritimes-et-l-.html	Ministere De L'Agriculture et De La Peche	The Water Act of January 3 1992	http://faolex.fao.org/docs/pdf/Fra11213.pdf	"Marine Life, Ministry of Environment, Energy and the Sea"	http://www.developpement-durable.gouv.fr/-Mer-et-littoral-.html
73	254	254	Fr Guiana	Marine Management	http://www.guyane.pref.gouv.fr/Politiques-publiques/Mer-peche/Direction-de-la-mer			http://faolex.fao.org/docs/pdf/Fra21144.pdf	"Management of Environment, Land and Housing"	http://www.guyane.pref.gouv.fr/Actions-de-l-Etat/Amenagement-logement-energie-environnement
81	268	268	Georgia	Ministry of Environment and Natural Resources Protection	http://moe.gov.ge/	Ministry of Agriculture	"Law on Environmental Protection, 1996"	http://faolex.fao.org/docs/pdf/geo127811E.pdf	Agency of Protected Areas	http://www.apa.gov.ge/
82		276	Germany	Federal Ministry of Food and Agriculture	http://www.bmel.de/DE/Wald-Fischerei/05_Fischerei/fischereipolitik_node.html	"Ministry for Food, Agriculture and Forestry"	"Federal Water Act, 2002"	http://faolex.fao.org/docs/pdf/ger81019b.pdf	"Marine Environment Protection, Ministry of Environment, Nature Conservation, Building and Nuclear Safety"	http://www.bmub.bund.de/themen/wasser-abfall-boden/meeresumweltschutz/
85	300	300	Greece	General Directorate of Fisheries	http://www.alieia.minagric.gr/	Ministry of Rural Development and Food	Law 1739/87 for Water Resources management (art.12) 	http://faolex.fao.org/docs/pdf/gre23636.pdf	Ministry of Environment and Energy	http://www.ypeka.gr/
87	308	308	Grenada	"Ministry of Agriculture, Lands, Forestry, Fisheries and Environment"	http://www.gov.gd/ministries/agriculture.html	"Ministry of Agriculture, Lands, Forestry and Fisheries"	"Birds and other Wild Life (Protection of ) Ordinance, 1956"	http://faolex.fao.org/docs/pdf/grn1194.pdf	Land and Marine Management Strategy	http://faolex.fao.org/docs/pdf/grn149546.pdf
6		I116	Andaman Islands (India)	Fisheries Department	http://www.andaman.gov.in/fisheries	Andaman & Nicobar Administration	Same as in India (http://forest.and.nic.in/CRZNotification-amendment.pdf)	http://faolex.fao.org/docs/pdf/ind132335.pdf	Department of Environment & Forest	http://forest.and.nic.in/
51	384	384	Cote d'Ivoire	Department of Animals and Fisheries	http://www.ressourcesanimales.gouv.ci/	"Ministry of Higher Education, Research and Technological Innovation"	"Nature conservancy law of August 4, 1965"	http://faolex.fao.org/docs/pdf/ivc1436.pdf	Ministry of Environment and Sustainable Development	http://www.environnement.gouv.ci/
176	630	630	Puerto Rico	Caribbean Fishery Management Council	http://www.caribbeanfmc.com/	Department of Agriculture	"Law For the Conservation, Development and Use of the Water Resources of Puerto Rico - Law Núm. 136 of 3 June 1976�"	http://faolex.fao.org/docs/pdf/pue135317.pdf	"Essential Fish Habitat Management Plan, Caribbean Fishery Management Council"	http://www.caribbeanfmc.com/fmp_efh_1998.html
212	662	662	St. Lucia	"Ministry of Agriculture, Fisheries, Physical Planning, Natural Resources and Co-operatives"	http://agriculture.govt.lc/	"Ministry of Agriculture, Forestry and Fisheries"	"Wildlife Protection Act, 1980"	http://faolex.fao.org/docs/pdf/stl2104.pdf	"Ministry of Sustainable Development, Energy, Science and Technology"	http://sustainabledevelopment.govt.lc/
211	670	670	St Vincent & Grenadines	"Ministry of Agriculture, Forestry, Fisheries and Rural Transformation"	http://www.agriculture.gov.vc/	"Ministry of Agriculture, Forestry and Fisheries"	"Wildlife Protection Act, 1987"	http://faolex.fao.org/docs/pdf/stv2112.pdf	"Ministry of Health, Wellness and the Environment"	http://www.health.gov.vc/
217	760	760	Syria	The Ministry of Agriculture and Agrarian Reform	http://moaar.gov.sy/	Ministry of Agriculture	Decree no. 30 dated 25.8.1964	http://faolex.fao.org/docs/pdf/syr2167E.pdf	Ministry of State of Environmental Affairs	http://moen.gov.sy/
230	796	796	Turks & Caicos	Mari-Culture and Fishing	http://www.gov.tc/industries-in-turks-and-caicos-islands#mariculture-and-fishing	Department of Environment and Coastal Resources	"Fisheries Protection Ordinance, 1941"	http://faolex.fao.org/docs/pdf/tci14804.pdf	Department of Environment and Maritime Affairs	http://www.gov.tc/dema/
228	788	788	Tunisia	Ministry of Agriculture	http://www.agriculture.tn/index.php/2014-10-19-12-07-15/2014-10-16-09-30-08/2014-10-16-09-32-48	MINISTERE DE L'AGRICULTURE ET DES RESSOURCES HYDRAULIQUES	"Law n° 91-39 of June 8 ; The law N° 73/95 of July 24, 1995"	http://faolex.fao.org/docs/pdf/tun1955.pdf	Ministry of the Environment and Sustainable Development	http://www.environnement.gov.tn/
236	784	784	Untd Arab Em	Ministry of Climate Change and Environment	http://www.moew.gov.ae/	Ministry of Agriculture and Fisheries	Federal Law No. 23 of 1999 for Protection and Devekopment of Marine Resources	http://faolex.fao.org/docs/pdf/uae36695E.pdf	Federal Law for the Protection and Development of the Environment	https://www.ead.ae/Documents/PDF-Files/Federal-Law-No.-24-of-1999-Eng.pdf
232	826	826	UK	Marine Management Organisation	https://www.gov.uk/government/organisations/marine-management-organisation	Marine Fisheries Agency	Sea Fisheries (Wildlife Conservation) Act 1992	http://faolex.fao.org/docs/pdf/uk92479.pdf	Environment Agency	https://www.gov.uk/government/organisations/environment-agency
244	548	548	Vanuatu	Fisheries Department	http://www.fisheries.gov.vu/	Ministry of Fisheries		http://faolex.fao.org/docs/pdf/van143413.pdf	Environmental Management and Conservation Act	http://www.paclii.org/vu/legis/consol_act/emaca412/
248	876	876	Wallis Futuna Islands	General Directorate of Overseas Information on Wallis and Futuna	http://www.outre-mer.gouv.fr/?-wallis-et-futuna-.html			http://faolex.fao.org/docs/pdf/wal101048.pdf	"Environmental, Natural and Technological Risks"	http://www.wallis-et-futuna.pref.gouv.fr/Politiques-publiques/Environnement-risques-naturels-et-technologiques
250	887	887	Yemen			Ministry of Fish Wealth	"Law No. 26, 1995"	http://faolex.fao.org/docs/pdf/yem86989.pdf	Environment Protection Agency	http://epayemen.org/
